Street Address,Postal City,County,Price,Beds Total,Sq Ft Total,Full Bath,Half Bath,Lot Size,Age,State,Lat,Lon,Tract,Total Population,Median Income,Walk Score,Bike Score,Comps,School Rating
477 Ivanhoe Court,San Jose,Santa Clara,1650000,3,1723,2,0,6994,52,CA,37.2607567,-121.8478325,512025,3029,172222,14,64,817,3.6
1180 Fritzen Street,San Jose,Santa Clara,900000,3,1391,2,0,6180,61,CA,37.3431857,-121.8355999,503507,2558,116806,75,66,818,4.2
2754 Dina Lane,San Jose,Santa Clara,1215000,3,1107,2,0,6928,43,CA,37.3116142,-121.8217198,503304,7373,86017,44,40,818,4.2
6546 Kaneko Drive,San Jose,Santa Clara,1300000,3,1137,2,0,6084,52,CA,37.2329882,-121.7903498,512059,6975,125184,29,49,819,5.4
475 Wildwood Way,Santa Clara,Santa Clara,1500000,3,1312,2,0,8152,55,CA,37.3909642,-121.9427337,505007,4397,108365,66,78,819,5
14705 Secretariat Way,Morgan Hill,Santa Clara,3750000,5,4465,4,1,40612,17,CA,37.0914968,-121.6428823,512305,4555,169667,10,7,819,4.8
6129 Manteca Court,San Jose,Santa Clara,1552000,5,2132,2,1,7071,55,CA,37.2370812,-121.8470763,512047,5843,162083,52,55,821,5.7
1726 Midfield Avenue,San Jose,Santa Clara,970000,3,960,1,0,5007,63,CA,37.328842,-121.8401817,503401,4741,79591,29,42,824,4.2
486 N 14th Street,San Jose,Santa Clara,1170000,3,1350,2,0,5893,107,CA,37.3509255,-121.8831437,501102,4465,112790,68,92,825,3.7
21425 Shady Lane,Los Gatos,Santa Clara,1500000,3,1423,1,0,60984,86,CA,37.1595382,-121.9691954,511800,4360,173529,0,4,827,8.5
3724 Springbrook Avenue,San Jose,Santa Clara,1950000,4,1897,2,0,8049,39,CA,37.3304868,-121.7688975,503313,4421,178500,4,27,828,7.3
7162 Windcliff Lane,San Jose,Santa Clara,1660000,4,2179,2,1,3049,16,CA,37.2365654,-121.7565227,512001,6099,191641,1,44,829,5.2
581 Continental Drive,San Jose,Santa Clara,1100000,4,1260,2,0,5169,64,CA,37.2769497,-121.8150906,503208,3858,126058,21,17,829,4.6
545 N 2nd Street,San Jose,Santa Clara,1350000,2,1068,1,0,6160,100,CA,37.3461748,-121.8969716,500200,6285,143333,85,89,829,3.6
6262 Mountford Dr ,San Jose,Santa Clara,1606262,3,1767,2,0,5500,53,CA,37.2311608,-121.811976,512031,4443,161294,30,38,830,6.8
1797 Mount Pleasant Road,San Jose,Santa Clara,1280000,3,1413,2,0,6105,44,CA,37.3508629,-121.798004,503509,4763,125450,24,44,830,4.3
4010 Hobart Avenue,San Jose,Santa Clara,950000,2,824,1,0,9600,73,CA,37.3639222,-121.825101,504101,4814,103542,74,62,830,3.7
5695 Lathrop Drive,San Jose,Santa Clara,1600000,4,1958,2,0,6225,54,CA,37.2492635,-121.8206965,512029,8204,136635,41,41,831,5.6
345 Ingram Court,San Jose,Santa Clara,1425000,4,2137,2,1,10467,45,CA,37.2181745,-121.767028,512035,4985,165208,19,8,831,6.5
1363 Cliffwood Drive,San Jose,Santa Clara,1250000,3,1490,3,0,5190,63,CA,37.3373493,-121.8375127,503504,6603,107143,72,54,832,4.8
2960 Vanport Drive,San Jose,Santa Clara,1200000,4,1545,2,0,5640,51,CA,37.3118371,-121.8131774,503305,5578,79483,74,62,832,4.3
1944 Biscayne Way,San Jose,Santa Clara,1300000,4,1616,3,0,6569,63,CA,37.3370229,-121.8325749,503504,6603,107143,49,52,832,4.7
3377 San Rivas Drive,San Jose,Santa Clara,1565000,5,2089,3,1,6106,38,CA,37.3346576,-121.7876129,503323,4051,138180,24,37,833,6.2
6043 Buffett Place,San Jose,Santa Clara,1550000,3,1538,2,1,2450,28,CA,37.2393879,-121.8682912,511911,4893,136635,44,44,834,5.7
559 Ezie Street,San Jose,Santa Clara,1050000,3,1113,1,1,5115,64,CA,37.2866536,-121.8278148,503217,4196,72188,63,68,840,4.7
1622 Barberry Lane,San Jose,Santa Clara,1277250,4,2172,2,0,7883,45,CA,37.3115516,-121.8195398,503304,7373,86017,42,45,840,4.3
654 Willis Avenue,San Jose,Santa Clara,1100000,4,1775,2,0,6082,107,CA,37.3219956,-121.894882,501800,4934,118203,66,95,842,4.5
1625 Saralynn Drive,San Jose,Santa Clara,1052000,3,1204,1,1,5044,59,CA,37.3146674,-121.8220757,503304,7373,86017,57,46,843,4.3
4111 Haines Avenue,San Jose,Santa Clara,1525000,3,1685,2,0,6524,54,CA,37.270109,-121.8639774,512005,6965,152569,61,72,843,4
555 N 10th Street,San Jose,Santa Clara,960000,3,1200,1,0,9520,114,CA,37.3503622,-121.8885906,501101,4329,95658,81,95,844,3.7
1505 Hester Avenue,San Jose,Santa Clara,2888888,5,2711,4,0,8319,5,CA,37.3288814,-121.9210552,500500,5732,126995,78,75,846,4.7
1440 Mount Diablo Drive,San Jose,Santa Clara,985000,3,1000,2,0,5000,64,CA,37.3516833,-121.8113531,503508,5896,97411,51,57,848,4.8
3339 Quesada Drive,San Jose,Santa Clara,1675000,3,2039,2,1,6300,43,CA,37.3330687,-121.7881469,503323,4051,138180,22,39,848,6.2
5150 Calicowood Place,San Jose,Santa Clara,1380000,3,1091,2,0,7964,44,CA,37.2666653,-121.7970473,512001,6099,191641,28,63,849,5
396 Gridley Court,San Jose,Santa Clara,915000,3,1287,2,0,8000,49,CA,37.3803353,-121.832041,503802,8141,104293,68,56,850,3.5
860 N 19th Street,San Jose,Santa Clara,1400000,3,1559,1,0,12774,121,CA,37.3611487,-121.8843887,500100,7074,129327,53,78,852,3.8
1561 Rue Avati ,San Jose,Santa Clara,1650000,3,1511,2,1,3781,28,CA,37.3877883,-121.88012,504317,4100,137054,68,72,853,4.7
3263 Mount Vista Drive,San Jose,Santa Clara,870000,3,1198,2,0,5400,63,CA,37.354051,-121.8099738,503508,5896,97411,43,50,855,3.8
7206 Via Maria ,San Jose,Santa Clara,1151000,3,1462,2,0,6236,50,CA,37.2292328,-121.7665829,512034,2901,149083,53,49,855,6.5
5327 Mango Blossom Court,San Jose,Santa Clara,1100000,3,1536,2,0,9120,46,CA,37.257661,-121.8131329,512022,6355,83185,24,50,856,4.8
3473 Chemin De Riviere ,San Jose,Santa Clara,1930000,4,1989,2,1,4025,22,CA,37.3235662,-121.7702773,503326,7743,176471,24,36,857,8
523 Broderick Drive,San Jose,Santa Clara,1540000,4,1699,2,0,6894,49,CA,37.2635386,-121.7964243,512001,6099,191641,30,63,857,5
953 Maclay Drive,San Jose,Santa Clara,1625000,3,1903,2,1,6291,52,CA,37.2407735,-121.8600192,512053,4894,106618,42,58,859,4.7
4856 Birmingham Drive,San Jose,Santa Clara,1465000,4,2124,2,1,8442,52,CA,37.2633725,-121.8460088,512025,3029,172222,17,65,859,3.6
611 Fenton Street,San Jose,Santa Clara,1200000,3,1395,3,0,5068,56,CA,37.3843041,-121.8328418,503802,8141,104293,61,52,860,4.2
183 Venado Way,San Jose,Santa Clara,1430000,3,1203,2,0,5000,56,CA,37.2490335,-121.8112641,512029,8204,136635,40,52,861,5
22710 Davis Court,San Jose,Santa Clara,4150000,5,4820,3,2,106722,35,CA,37.1967327,-121.800496,511911,4893,136635,2,28,861,7.5
4937 Rice Drive,San Jose,Santa Clara,1330000,3,1415,2,0,6573,46,CA,37.2669385,-121.8194953,512042,3115,80074,28,48,865,5
4262 Forestwood Dr ,San Jose,Santa Clara,1600000,4,1734,2,0,8588,53,CA,37.3020471,-121.781983,503333,4717,154200,12,37,865,6.8
2860 Encinitas Court,San Jose,Santa Clara,1280000,4,1900,2,0,8944,52,CA,37.4077606,-121.8765182,504410,4593,115450,39,45,865,7.3
481 N 18th Street,San Jose,Santa Clara,1205000,4,1236,2,0,4807,98,CA,37.3523526,-121.8797643,501102,4465,112790,66,89,866,3.8
409 N 12th Street,San Jose,Santa Clara,1255800,2,1152,1,0,5830,75,CA,37.3486329,-121.8845221,501102,4465,112790,76,93,866,3.7
231 S 17th Street,San Jose,Santa Clara,1410000,4,1324,1,1,6513,112,CA,37.3401182,-121.8718711,501300,4093,130885,71,91,866,3
5414 Century Meadow Court,San Jose,Santa Clara,1625000,4,2316,2,1,6000,45,CA,37.2608071,-121.795423,512001,6099,191641,30,66,868,5
5770 CHANDLER Court,San Jose,Santa Clara,1820000,5,2193,3,0,7143,58,CA,37.2470985,-121.8247896,512029,8204,136635,50,46,868,6
5098 Severance Drive,San Jose,Santa Clara,1350000,3,1330,2,0,7827,49,CA,37.2588363,-121.8609087,512024,5286,118586,55,77,868,3.3
3440 Grossmont Drive,San Jose,Santa Clara,1800000,4,1502,2,0,8831,63,CA,37.3969754,-121.8399593,504308,4637,144107,39,48,869,4.8
20624 Black Road,Los Gatos,Santa Clara,2150000,4,2246,2,0,443441,65,CA,37.1991315,-122.0344225,511800,4360,173529,3,4,869,10
338 Blossom Hill Road,San Jose,Santa Clara,1500000,4,1926,2,1,7388,53,CA,37.2510672,-121.8238553,512029,8204,136635,66,44,870,5.6
374 Grandin Court,San Jose,Santa Clara,1350000,3,1668,2,0,6963,54,CA,37.2467814,-121.8227653,512029,8204,136635,45,43,871,5.3
4970 Collomia Court,San Jose,Santa Clara,1476000,3,1542,2,0,9292,46,CA,37.2704099,-121.8175154,512057,4116,123427,20,41,872,5.2
3291 Mount Vista Drive,San Jose,Santa Clara,895000,2,825,1,0,5000,63,CA,37.3546423,-121.8091284,503508,5896,97411,32,44,874,3.5
6161 Yeadon Way,San Jose,Santa Clara,1613000,3,1497,2,1,4127,26,CA,37.2372378,-121.7968025,512059,6975,125184,55,63,875,5.7
617 N 17th Street,San Jose,Santa Clara,895000,3,828,1,0,5665,82,CA,37.3551101,-121.8830993,501102,4465,112790,64,88,878,3.7
4247 Rosenbaum Avenue,San Jose,Santa Clara,1470000,3,1442,2,0,6255,51,CA,37.2727939,-121.8379798,512055,3746,132411,53,63,878,4.4
7140 Via Maria ,San Jose,Santa Clara,1450000,4,1833,2,1,5892,54,CA,37.230346,-121.7684078,512034,2901,149083,61,52,879,6.5
4675 La Crescent Loop,San Jose,Santa Clara,1500000,4,1949,2,1,3200,23,CA,37.2642317,-121.8672684,512024,5286,118586,50,66,880,3.3
1015 Marianelli Court,San Jose,Santa Clara,1020000,3,1180,2,0,5028,45,CA,37.3604451,-121.8810983,500100,7074,129327,46,71,880,3.8
2988 Heidi Ct ,San Jose,Santa Clara,1580000,4,1577,3,0,7020,59,CA,37.3947949,-121.855883,504307,5840,120000,44,50,880,5.8
1128 Kendal Court,San Jose,Santa Clara,3200000,4,3319,3,0,8102,38,CA,37.2003723,-121.8422724,511917,4163,191091,11,22,880,7.5
260 Beegum Way,San Jose,Santa Clara,1200000,3,1546,2,1,5000,59,CA,37.2496788,-121.8169148,512029,8204,136635,35,40,881,5.6
1224 Glacier Drive,Milpitas,Santa Clara,1800000,5,2349,3,0,5499,52,CA,37.4250498,-121.8809649,504416,3827,150047,51,65,882,5.8
1248 Glacier Drive,Milpitas,Santa Clara,2025000,4,2029,3,0,5700,52,CA,37.4252183,-121.8806536,504416,3827,150047,51,65,882,5.8
103 Tiffin Drive,San Jose,Santa Clara,1750000,4,2141,2,1,7230,38,CA,37.2624673,-121.824189,512021,6448,117097,34,53,882,5.2
423 Birkhaven Place,San Jose,Santa Clara,1388000,3,1457,2,1,2700,25,CA,37.2408467,-121.7627548,512001,6099,191641,4,40,885,5.2
1638 Briarpoint Drive,San Jose,Santa Clara,1258000,4,1812,2,1,2700,35,CA,37.375819,-121.879321,504311,7547,169659,16,55,885,4.4
6089 Larchmont Drive,San Jose,Santa Clara,1440000,3,1507,2,0,6084,54,CA,37.2380926,-121.8065476,512036,4713,136250,64,66,885,6.4
4963 Collomia Ct ,San Jose,Santa Clara,1625000,4,1678,2,0,6620,46,CA,37.2707517,-121.8180716,512057,4116,123427,20,41,885,5.2
3356 Quesada Drive,San Jose,Santa Clara,1550000,3,2039,2,1,6036,43,CA,37.3328092,-121.7871901,503323,4051,138180,23,37,886,6.2
456 N 11th Street,San Jose,Santa Clara,920000,2,1260,1,0,5985,0,CA,37.3489298,-121.8854114,501102,4465,112790,76,94,888,3.7
6215 Ocho Rios Drive,San Jose,Santa Clara,1325000,4,1495,2,0,6000,54,CA,37.2334893,-121.8420944,512047,5843,162083,35,21,888,6.6
398 Skyway Drive,San Jose,Santa Clara,1280000,4,1458,2,0,6555,56,CA,37.2731676,-121.8169148,512057,4116,123427,15,8,888,4.6
1230 Glen Brae Lane,San Jose,Santa Clara,1275000,3,1200,2,0,6648,60,CA,37.2502595,-121.8814985,502910,3835,97266,80,61,890,5
684 N 15th Street,San Jose,Santa Clara,1050000,3,1068,1,0,5441,104,CA,37.3555328,-121.8853225,501102,4465,112790,74,89,891,3.7
818 Fountain Palm Court,San Jose,Santa Clara,1525000,4,1797,2,1,3003,26,CA,37.3787989,-121.8533478,503803,5174,112768,36,68,892,5.3
4341 Clearpark Pl ,San Jose,Santa Clara,1400000,3,1305,2,0,6000,49,CA,37.2696301,-121.8403151,512055,3746,132411,40,64,892,4.2
3008 Oliver Drive,San Jose,Santa Clara,3250000,5,3479,4,0,8141,20,CA,37.3052561,-121.7753959,503330,7163,250001,26,52,892,7.5
123 N 25th Street,San Jose,Santa Clara,950000,2,1174,1,0,4993,76,CA,37.3489584,-121.8689114,501401,2793,54907,87,68,893,3.8
4820 Corrales Drive,San Jose,Santa Clara,1320000,3,1385,2,0,6625,52,CA,37.2618396,-121.8677798,512024,5286,118586,48,74,893,3.3
20408 Santa Cruz Highway,Los Gatos,Santa Clara,2242500,4,2512,3,0,176854,58,CA,37.1755715,-121.9936296,511800,4360,173529,0,13,893,8.5
330 Serrano Avenue,San Jose,Santa Clara,860000,2,711,1,0,7540,74,CA,37.3636947,-121.8209635,504102,5751,86875,60,59,894,4.2
275 N 26th Street,San Jose,Santa Clara,935000,2,1149,1,0,5050,73,CA,37.3513587,-121.8696698,501401,2793,54907,83,62,895,3.8
16201 Stevens Canyon Road,Cupertino,Santa Clara,1800000,4,2000,2,0,55757,82,CA,37.2691436,-122.0958385,511707,2955,153036,0,0,900,8.8
244 Blossom Hill Road,San Jose,Santa Clara,1280000,3,1617,2,0,6250,59,CA,37.2510986,-121.8160694,512029,8204,136635,45,45,902,5
15670 Winchester Boulevard,Los Gatos,Santa Clara,3225000,6,3976,5,0,14389,71,CA,37.2410207,-121.9763041,507203,3062,170735,61,74,902,9
15256 Via Del Sur ,Monte Sereno,Santa Clara,5525000,5,5563,5,1,33757,37,CA,37.2468088,-121.976504,507206,2586,250001,2,28,902,9
377 Springpark Cir ,San Jose,Santa Clara,1295000,4,1466,2,0,5500,54,CA,37.2699726,-121.8473432,512019,4789,127321,63,66,904,4.4
5782 Orchard Park Drive,San Jose,Santa Clara,1555000,4,1495,2,0,6051,50,CA,37.2465689,-121.8256794,512029,8204,136635,50,46,906,5.8
3358 Soares Court,Santa Clara,Santa Clara,2070000,5,2633,3,1,6390,57,CA,37.3438507,-121.9887876,505403,8775,159150,57,66,906,5.4
290 Bangor Avenue,San Jose,Santa Clara,1276110,3,1235,1,1,5895,59,CA,37.247515,-121.8172262,512029,8204,136635,36,37,907,5.6
904 Hellyer Avenue,San Jose,Santa Clara,1000000,4,1971,2,0,6240,49,CA,37.2840426,-121.8169815,503208,3858,126058,34,61,907,5
6485 Sulu Court,San Jose,Santa Clara,1700001,4,1694,2,0,7274,52,CA,37.2271068,-121.7983155,512059,6975,125184,29,42,907,6.6
18805 Bear Creek Road,Los Gatos,Santa Clara,5200000,6,5726,7,1,105851,0,CA,37.1876457,-121.9980938,511800,4360,173529,1,8,908,10
768 Dailey Avenue,San Jose,Santa Clara,1430000,4,1534,2,0,6784,47,CA,37.2475248,-121.8512351,512053,4894,106618,68,76,913,4.7
262 Bluefield Drive,San Jose,Santa Clara,1190000,3,1305,2,0,5680,50,CA,37.2725059,-121.8430286,512019,4789,127321,47,58,915,4.2
2281 Petersburg Drive,Milpitas,Santa Clara,1850000,4,2074,3,0,6880,52,CA,37.4311455,-121.8641553,504415,4922,151806,12,43,915,6.4
4127 Reedhurst Avenue,San Jose,Santa Clara,1780000,5,2350,3,0,6100,60,CA,37.2625396,-121.894882,502907,3960,150250,39,58,916,4.8
1451 Old Piedmont Road,San Jose,Santa Clara,2125000,5,2865,3,0,10320,44,CA,37.407732,-121.8468094,504314,4978,127083,28,45,920,5.8
2704 Clarion Court,San Jose,Santa Clara,2275000,4,2699,3,0,12258,0,CA,37.3389737,-121.7822946,503313,4421,178500,9,24,920,6.8
3552 Aberdeen St. ,Santa Clara,Santa Clara,1200000,4,1244,2,0,5500,61,CA,37.3865587,-121.9479554,505007,4397,108365,53,50,922,5.8
3727 Kirk Road,San Jose,Santa Clara,1780000,4,1946,3,0,5922,65,CA,37.2629984,-121.9070858,502908,6617,126917,52,50,923,7.5
350 Carnegie Drive,Milpitas,Santa Clara,1405000,4,1650,2,1,6136,67,CA,37.4310815,-121.8796309,504418,3817,115298,66,67,924,5.4
22 Cheltenham Way,San Jose,Santa Clara,1470000,3,1390,2,0,6148,50,CA,37.2281896,-121.7580807,512035,4985,165208,14,32,925,6.6
538 Churchill Park Drive,San Jose,Santa Clara,1675000,4,2124,2,1,7442,49,CA,37.2588143,-121.8491668,512025,3029,172222,14,62,926,3.6
4752 Corte De Cervato ,San Jose,Santa Clara,1100000,2,1056,2,0,3699,47,CA,37.2633686,-121.867135,512024,5286,118586,66,71,927,3.3
5808 Alcazar Dr ,San Jose,Santa Clara,1525000,4,1516,2,0,6302,57,CA,37.2456518,-121.8434066,512047,5843,162083,57,70,929,4.7
5938 Country Club Parkway,San Jose,Santa Clara,4700000,4,5222,4,1,16692,26,CA,37.2796433,-121.7621538,503339,4011,245781,5,32,929,7.8
232 Washington Street,San Jose,Santa Clara,880000,2,920,1,0,2326,0,CA,37.3447571,-121.8903171,501000,5156,40429,80,96,930,3.6
7150 Wooded Lake Drive,San Jose,Santa Clara,4400000,5,4328,4,0,209959,45,CA,37.204704,-121.8735107,511918,3200,236964,2,5,930,7.3
7111 Via Lomas Court,San Jose,Santa Clara,1380000,3,1688,2,0,6089,50,CA,37.2308181,-121.7687194,512034,2901,149083,60,54,931,6.5
2493 Parquet ,San Jose,Santa Clara,2400000,5,2479,2,1,7800,57,CA,37.276998,-121.9205329,502902,9023,155000,53,67,932,6.8
3094 Balmoral Drive,San Jose,Santa Clara,2068000,5,1974,3,0,7828,49,CA,37.4074152,-121.8627099,504315,7097,138352,24,48,932,6.3
627 N 20th Street,San Jose,Santa Clara,1300000,3,1014,1,1,6100,65,CA,37.356439,-121.8802979,501102,4465,112790,58,86,934,3.7
3234 Gatelight Court,San Jose,Santa Clara,1774000,3,2009,2,1,6214,38,CA,37.3242214,-121.7826951,503325,4625,155469,27,37,935,7.7
7016 Brooktree Way,San Jose,Santa Clara,2500000,4,2334,3,0,20000,47,CA,37.2104334,-121.8360225,511912,5749,247438,24,60,936,7.5
98 N 17th Street,San Jose,Santa Clara,1350000,3,1480,1,0,5400,122,CA,37.3453454,-121.8751841,501200,4099,93426,83,82,938,3.8
4240 Briarglen Drive,San Jose,Santa Clara,1600000,4,1816,2,0,6046,44,CA,37.2644336,-121.8778967,503003,5259,153438,57,72,941,4.8
322 Endmoor Court,San Jose,Santa Clara,1375000,3,1067,2,0,6116,50,CA,37.2247947,-121.7892818,512032,2899,118401,17,32,941,6.2
5878 Garces Avenue,San Jose,Santa Clara,1565000,4,1321,2,0,7200,51,CA,37.2425922,-121.852058,512053,4894,106618,53,75,941,4.7
862 Brevins Loop,San Jose,Santa Clara,1880000,4,2429,2,1,3630,23,CA,37.2815052,-121.8749393,503125,3435,150195,45,55,942,6
5101 Derek Drive,San Jose,Santa Clara,1625000,3,1543,2,0,6105,51,CA,37.260993,-121.8260353,512021,6448,117097,38,57,942,4.8
5839 Chesbro Avenue,San Jose,Santa Clara,1465000,3,1347,2,0,6200,57,CA,37.2447739,-121.8433844,512047,5843,162083,57,70,942,4.7
7358 Prindiville Drive,San Jose,Santa Clara,1500000,3,1674,2,1,4815,30,CA,37.2329116,-121.7619535,512038,3308,102240,14,55,943,6.5
595 Minor Avenue,San Jose,Santa Clara,1200000,3,1635,2,0,5345,0,CA,37.3217313,-121.8942595,501800,4934,118203,66,95,944,4.5
514 Hull Avenue,San Jose,Santa Clara,1700000,3,1704,2,0,6480,83,CA,37.316729,-121.8957712,501800,4934,118203,66,94,945,4.5
14769 Berry Way,San Jose,Santa Clara,3480000,4,3188,4,0,12527,72,CA,37.2556139,-121.927178,502800,4442,155385,35,47,945,8.2
5518 Deep Purple Way,San Jose,Santa Clara,1350000,3,1072,2,0,6530,51,CA,37.2541187,-121.8522803,512027,4552,84615,56,75,946,3.5
5675 Ladner Drive,San Jose,Santa Clara,1500000,3,1195,2,0,9800,57,CA,37.2495191,-121.8300392,512029,8204,136635,66,56,947,5.6
2641 Flagstone Dr ,San Jose,Santa Clara,1999999,4,2360,3,0,6000,48,CA,37.3900481,-121.8573062,504321,5766,134750,71,66,952,6.5
2879 Rubino Circle,San Jose,Santa Clara,1610000,3,1889,2,1,2710,23,CA,37.2825308,-121.8763848,503125,3435,150195,49,52,953,6
1457 Platt Avenue,Milpitas,Santa Clara,1580000,5,1920,2,1,5526,58,CA,37.4253742,-121.8770073,504415,4922,151806,52,67,955,5.8
745 Santa Ynez Street,Sunnyvale,Santa Clara,1610000,5,2275,3,0,5188,68,CA,37.391035,-121.9980938,508900,5324,119643,60,77,956,5.8
130 Solar Court,Milpitas,Santa Clara,1150000,3,1000,1,1,6200,64,CA,37.434586,-121.8795864,504418,3817,115298,80,69,956,5.4
1240 Torres Avenue,Milpitas,Santa Clara,1050000,3,1020,2,0,6232,51,CA,37.4437971,-121.8874123,504424,4972,134890,60,73,956,6.6
622 Printy Avenue,Milpitas,Santa Clara,1345000,4,1858,2,0,7243,51,CA,37.4439233,-121.8886795,504424,4972,134890,51,68,956,6.6
5366 Hansell Drive,San Jose,Santa Clara,1225000,3,1207,2,0,4749,44,CA,37.2569806,-121.8266136,512023,5583,80696,28,40,959,5.7
5761 Barnswell Way,San Jose,Santa Clara,1360000,3,1488,2,0,5824,44,CA,37.2511686,-121.7901273,512039,6439,123125,28,64,960,5
6059 Whitehaven Court,San Jose,Santa Clara,3080000,4,2695,3,0,10395,24,CA,37.2739519,-121.7487321,503339,4011,245781,7,2,960,7.8
6981 El Marcero Court,San Jose,Santa Clara,1710000,5,1800,2,0,7204,52,CA,37.2225664,-121.7834962,512032,2899,118401,23,36,961,6.2
4029 Briarglen Drive,San Jose,Santa Clara,1565000,3,1475,2,0,6000,56,CA,37.2669053,-121.8792529,503003,5259,153438,54,63,962,4.8
606 Osage Court,San Jose,Santa Clara,1430000,3,1347,2,0,8433,59,CA,37.2494851,-121.8408489,512047,5843,162083,66,59,962,6.2
351 Spar Avenue,San Jose,Santa Clara,2250000,4,2036,3,1,9375,68,CA,37.3217067,-121.9517105,506301,5342,99476,87,81,962,4.4
911 Michigan Avenue,San Jose,Santa Clara,2390000,4,2485,3,0,6494,92,CA,37.3053078,-121.8932369,502400,7048,132398,87,82,966,5
368 Henderson Drive,San Jose,Santa Clara,1200000,2,930,1,0,6461,54,CA,37.2382868,-121.8121985,512036,4713,136250,34,49,969,6.4
914 Kingfisher Drive,San Jose,Santa Clara,1450000,3,1302,2,0,6343,66,CA,37.2857887,-121.8793196,503125,3435,150195,60,58,970,6.2
2845 Ronco Drive,San Jose,Santa Clara,1550000,4,2150,2,1,6000,52,CA,37.3921108,-121.8554382,504307,5840,120000,59,64,974,5.8
"473 Curie Drive, #1",San Jose,Santa Clara,1650000,4,2256,2,1,6215,46,CA,37.2293262,-121.815847,512031,4443,161294,19,8,974,6.8
2864 Riedel Road,San Jose,Santa Clara,1709000,3,1481,2,0,7140,38,CA,37.313008,-121.7850316,503329,3855,204073,56,71,974,7.7
935 Myrtle Street,San Jose,Santa Clara,1995000,3,1704,2,0,7618,32,CA,37.3423973,-121.9223776,500400,2712,98769,61,75,974,4.3
1583 Willowdale Drive,San Jose,Santa Clara,2210000,4,2062,3,0,5927,64,CA,37.2654675,-121.9008618,502907,3960,150250,50,50,977,5.3
17220 Melody Lane,Los Gatos,Santa Clara,1925000,3,1838,2,1,39752,65,CA,37.1437901,-121.9731052,511800,4360,173529,6,1,980,9.3
17585 Mountain Charlie Road,Los Gatos,Santa Clara,2100000,3,2302,2,0,43426,50,CA,37.148484,-121.9766595,511800,4360,173529,7,1,980,9.3
179 Burning Tree Drive,San Jose,Santa Clara,1225000,3,1418,2,0,6374,52,CA,37.2276151,-121.778823,512032,2899,118401,28,51,981,5.4
3055 Lynview Drive,San Jose,Santa Clara,1431875,3,1320,2,0,6104,55,CA,37.3242263,-121.7912399,503325,4625,155469,67,50,982,7
2134 Kingsbury Cir ,Santa Clara,Santa Clara,1540000,3,1589,2,1,2912,22,CA,37.3978633,-121.9612864,505010,4400,167786,45,75,983,5.8
5297 Entrada Olmos ,San Jose,Santa Clara,1457000,3,1371,2,0,6300,53,CA,37.2570934,-121.8398258,512026,3865,102656,10,62,983,6
1184 Adams Court,San Jose,Santa Clara,1975000,4,2090,2,1,6079,52,CA,37.3940088,-121.8516132,504307,5840,120000,35,66,984,5.8
563 Jesse James Drive,San Jose,Santa Clara,1535000,3,1649,2,0,6233,56,CA,37.2322635,-121.8263022,512030,3167,161932,57,50,986,6.8
1403 Glen Ellen Way,San Jose,Santa Clara,4000000,5,4686,3,2,11762,56,CA,37.2921576,-121.9044184,502601,3281,122405,55,54,986,6.3
3026 Vesuvius Lane,San Jose,Santa Clara,2000500,4,1393,2,0,6116,50,CA,37.3965193,-121.8553938,504314,4978,127083,41,44,987,6
615 Minor Avenue,San Jose,Santa Clara,1275000,4,1941,3,0,6710,122,CA,37.3212159,-121.8943485,501800,4934,118203,66,95,988,4.5
2971 Via Del Sol ,San Jose,Santa Clara,1400000,3,1404,2,0,6811,53,CA,37.4097853,-121.8753397,504410,4593,115450,48,47,989,7.3
4207 Vistamont Drive,San Jose,Santa Clara,1739000,3,1651,2,0,6000,55,CA,37.2645019,-121.8832549,503003,5259,153438,24,67,990,4.8
1548 Lincoln Avenue,San Jose,Santa Clara,3400000,4,3169,4,0,6098,107,CA,37.3018074,-121.8948153,502400,7048,132398,86,76,991,6.2
109 Casswell ,San Jose,Santa Clara,1512000,4,1474,2,0,6664,44,CA,37.2508807,-121.7878131,512039,6439,123125,17,64,991,5
599 Albion Court,San Jose,Santa Clara,1910007,4,1881,2,1,9394,54,CA,37.2722843,-121.8557718,512005,6965,152569,63,64,991,3.8
5450 Ligurian Drive,San Jose,Santa Clara,3125000,4,2682,3,0,18109,26,CA,37.2819521,-121.7644463,503339,4011,245781,5,32,991,7.8
2277 Freya Drive,San Jose,Santa Clara,1351000,3,1431,2,1,2649,37,CA,37.3150872,-121.7886801,503325,4625,155469,70,72,992,6.8
1789 Girard Dr ,Milpitas,Santa Clara,1335000,3,1102,2,0,6000,62,CA,37.434,-121.873472,504423,2149,125139,48,57,992,5.4
998 Hamilton Avenue,Milpitas,Santa Clara,1591000,3,1659,2,0,5815,44,CA,37.4455355,-121.9038627,504414,4547,147717,66,74,993,7
410 Leigh Avenue,San Jose,Santa Clara,1080000,3,1159,1,0,6067,97,CA,37.3213669,-121.9236444,502001,5089,102198,77,76,993,4.8
390 Kalana Avenue,Morgan Hill,Santa Clara,1985000,3,2000,2,0,122404,79,CA,37.1690492,-121.7176823,512100,1468,85000,0,10,993,5
1310 Arnold Ave ,San Jose,Santa Clara,1000000,3,1400,1,0,5000,76,CA,37.3596739,-121.9099532,505100,4093,92375,55,70,994,2.7
